PID,record_id,total_minutes_1,total_minutes_2,total_minutes_3,total_minutes_4,pickup1,pickup2,pickup3,pickup4,notif1,notif2,notif3,notif4
1097,1569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1105,1574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1125,1577,740,402,436,695,115,289,539,71,308,113,122,180
1101,1598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1114,1609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1104,1610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1110,1611,NA,133,NA,12,NA,7,NA,14,NA,7,NA,23
1117,1614,689,3000,945,2745,113,76,182,397,91,109,117,90
1108,1620,252,210,192,265,111,1,2,4,81,10,55,6
1109,1631,279,600,756,372,78,4,3,2,38,20,4,2
1111,1632,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
1122,1634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1115,1661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1124,1703,NA,383,NA,NA,NA,40,NA,NA,NA,20,NA,NA
1129,1781,NA,600,NA,NA,1,3.3,NA,NA,1,5,NA,NA
1126,1789,615,372,752,497,132,21,7,28,96,35,10,16
1128,1806,NA,900,312,315,NA,10,4,20,NA,6,3,1
1103,1484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1054,1117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1076,1443,NA,430,NA,NA,NA,1,NA,NA,NA,10,NA,NA
1095,1477,465,270,NA,NA,57,3,NA,NA,89,3,NA,NA
1099,1463,140,NA,NA,NA,NA,10,NA,NA,NA,10,NA,NA
