PID,texi_total.z
3001,0.161446692
3002,0.65166944
3004,0.357535791
3007,0.063402142
3003,-1.309221553
3008,-1.015087904
3009,0.55362489
3010,2.220382234
3017,-0.328776056
3014,-0.622909705
3011,1.337981287
3013,-0.720954255
3018,-1.309221553
3020,2.024293135
3022,2.318426783
3015,0.749713989
3043,0.455580341
3019,-0.328776056
3055,0.161446692
3044,0.063402142
3041,-0.524865156
3039,-0.426820606
3050,0.65166944
3030,0.161446692
3023,-0.034642408
3045,-1.407266102
3032,0.847758539
3054,-0.034642408
3059,0.945803089
3061,0.847758539
3053,-0.622909705
3037,-1.799444301
3046,0.455580341
3058,0.455580341
3034,-0.132686957
3062,-0.230731507
3031,-0.328776056
3038,-1.701399751
3036,0.945803089
3029,-2.191622499
3049,-0.426820606
3024,0.65166944
3026,-0.818998805
3028,0.063402142
3027,-0.917043354
3025,-1.89748885
3048,-0.230731507
3033,1.239936738
3040,-0.917043354
3035,-1.89748885
3057,0.063402142
3056,-1.211177003
3064,-0.524865156
3042,-0.034642408
3047,-0.230731507
3051,0.55362489
3114,-1.015087904
3063,-0.034642408
3065,1.828204035
3074,0.259491241
3068,-0.720954255
3067,-0.426820606
3066,-0.426820606
3071,-0.720954255
3095,1.337981287
3078,0.55362489
3088,-1.505310652
3079,-0.034642408
3111,-0.034642408
3075,1.534070386
3080,1.436025837
3082,-0.818998805
3083,-0.034642408
3087,1.141892188
3081,0.455580341
3089,0.063402142
3084,0.063402142
3097,-1.211177003
3073,0.945803089
3085,-0.034642408
3090,-0.132686957
3076,1.730159486
3069,-0.720954255
3096,-0.132686957
3110,0.847758539
3115,-0.524865156
3093,-0.230731507
3103,0.357535791
3102,1.436025837
3070,-0.917043354
3077,0.259491241
3092,-0.622909705
3072,0.357535791
3104,0.161446692
3107,-1.211177003
3106,0.945803089
3098,-0.524865156
3117,-1.211177003
3119,2.710604982
3086,0.945803089
3094,-0.230731507
3091,-0.818998805
3099,1.436025837
3101,0.65166944
3105,0.063402142
3122,2.220382234
3113,0.55362489
3109,0.357535791
3112,0.063402142
3108,1.141892188
3121,-0.132686957
3123,-0.524865156
3125,0.749713989
3129,-0.034642408
3118,0.357535791
3134,0.161446692
3116,1.043847638
3131,-0.230731507
3130,3.10278318
3124,0.259491241
3128,-1.407266102
3133,0.161446692
3120,-0.524865156
3127,2.024293135
3126,-0.132686957
3132,-1.309221553
3135,0.455580341
3136,-0.917043354
3137,-1.015087904
3138,-0.132686957
3141,-0.917043354
3139,-0.426820606
3140,-0.034642408
3142,1.828204035
3143,0.161446692
3144,0.063402142
3145,-0.524865156
3147,-1.89748885
3146,-1.89748885
3153,-0.720954255
3158,0.847758539
3149,0.749713989
3154,-0.524865156
3150,-1.015087904
3155,-1.505310652
3152,-1.407266102
3148,-0.034642408
3151,0.259491241
3156,-1.603355202
3157,0.259491241
