record_id,Wave,Cohort,PID,birth_sex,participant_age,Alerting_Z,Orienting_Z,Flanker_Z,OBJ_AvgPickups_Z,OBJ_AvgNotifs_Z,OBJ_Usage.DailyHourlyAverage.Z,sas_agg.clean.Z,MTES_SocialMediaUse_TimeOnApp.sum,MTES_PhoneChecking.mean,MTES_PublicUpdates.mean,MTES_SocialMediaUse_TimeOnApp.sum.z,MTES_PhoneChecking.mean.z,MTES_PublicUpdates.mean.z,MTES_Total_Original.z,SSM,hdprime,ldprime,overall_dprime,average_dti_fa,des_agefirst,years_of_use,Barratt_sum_score,texi_sum_score,texi_z_score,Bar_z
1511,1,1,1119,2,12,1.236378314,-0.372281278,0.235704413,NA,NA,NA,NA,2,0,0,-1.376197492,-1.924786075,-1.176730834,-1.492571467,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,21,40,-0.506411207,1.848392139
1512,1,1,1121,2,9,1.013250827,-0.78179748,1.327166279,NA,NA,NA,NA,3,0,0,-1.248951721,-1.924786075,-1.176730834,-1.45015621,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,23,57,0.966524481,-1.835236323
1513,1,1,1120,2,7,NA,NA,NA,NA,NA,NA,NA,4,0,0,-1.121705949,-1.924786075,-1.176730834,-1.407740953,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,16,31,-1.286200689,1.157711802
1518,1,1,1087,1,11,-0.771973352,-0.072303835,0.352908243,-1.153915874,-1.207681286,NA,1.105790991,14,3,5,0.150751764,-0.099411479,1.989291158,0.680210481,#VALUE!,2.544110714,3.304224074,2.839185977,NA,7,4,20,61,1.313097584,-1.144555986
1525,1,1,1092,1,9,NA,NA,NA,-0.753856642,-0.987333743,NA,1.984903455,7,3.666666667,4,-0.739968635,0.30622732,1.35608676,0.307448481,#VALUE!,NA,NA,NA,NA,9,0,24,27,-1.632773792,0.236804687
1538,1,1,1089,2,10,-0.408772327,-0.002365633,-0.367504146,NA,NA,NA,NA,3,0,0,-1.248951721,-1.924786075,-1.176730834,-1.45015621,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,22,26,-1.719417068,1.61816536
1554,1,1,1096,1,7,NA,NA,NA,NA,NA,NA,-0.275671451,2,4.333333333,5,-1.376197492,0.711866119,1.989291158,0.441653262,#VALUE!,2.205157456,2.255071885,2.197981961,NA,7,0,20,59,1.139811032,-0.223648871
1556,1,1,1106,2,9,0.573073941,0.406671672,1.304512197,-1.153915874,-1.215279477,NA,-1.908308884,1,0,0,-1.503443263,-1.924786075,-1.176730834,-1.534986724,#VALUE!,NA,NA,NA,NA,9,0,18,57,0.966524481,-1.144555986
1560,1,1,1107,1,12,0.497752539,1.248138907,-0.760975303,-0.412342663,-0.934146405,-0.490039917,0.352266023,7,3,1.5,-0.739968635,-0.099411479,-0.226924236,-0.355434784,-0.493208678,NA,NA,NA,NA,11,1,16,46,0.013448447,-0.223648871
1565,1,1,1094,1,9,NA,NA,NA,NA,NA,NA,-0.024496462,3,0,0,-1.248951721,-1.924786075,-1.176730834,-1.45015621,#VALUE!,-2.258634928,-1.840501047,-2.00628052,NA,NA,#VALUE!,17,40,-0.506411207,1.387938581
1567,1,1,1082,1,7,-0.291265966,-0.959597501,0.209554026,NA,NA,NA,NA,0,0,0,-1.630689034,-1.924786075,-1.176730834,-1.577401981,#VALUE!,-0.929020727,-0.453436998,-0.691911885,NA,NA,#VALUE!,22,45,-0.073194828,0.697258245
1569,1,1,1097,2,11,-0.890210344,1.793713244,0.172379753,NA,NA,NA,NA,3,1,0,-1.248951721,-1.316327876,-1.176730834,-1.24733681,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,16,41,-0.419767931,1.157711802
1572,1,1,1093,1,9,NA,NA,NA,-0.52943317,-0.888557259,-0.655205632,1.356965981,4,4,0,-1.121705949,0.509046719,-1.176730834,-0.596463355,0.105296994,2.472514058,2.099933977,2.265118326,NA,8,1,17,53,0.619951378,-0.914329207
1574,1,1,1105,2,9,1.722199898,-0.283270755,0.576666045,NA,NA,NA,NA,5,0,0,-0.994460178,-1.924786075,-1.176730834,-1.365325695,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,18,44,-0.159838104,1.157711802
1577,1,1,1125,1,12,NA,NA,NA,-0.041556058,1.12496339,1.450657241,-0.024496462,16,4,4.5,0.405243306,0.509046719,1.672688959,0.862326328,2.288487107,NA,NA,NA,NA,5,7,20,46,0.013448447,-0.223648871
1598,1,1,1101,1,7,NA,NA,NA,NA,NA,NA,NA,2,0,0,-1.376197492,-1.924786075,-1.176730834,-1.492571467,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,21,53,0.619951378,0.006577908
1609,1,1,1114,1,11,NA,NA,NA,NA,NA,NA,-0.275671451,2,2.333333333,0,-1.376197492,-0.505050278,-1.176730834,-1.019326201,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,18,39,-0.593054483,0.697258245
1610,1,1,1104,2,12,NA,NA,NA,NA,NA,NA,NA,4,0,0,-1.121705949,-1.924786075,-1.176730834,-1.407740953,#VALUE!,0.975585308,-0.088152138,0.395952011,NA,NA,#VALUE!,18,53,0.619951378,-0.684102429
1611,1,1,1110,2,11,NA,NA,NA,NA,NA,NA,-0.275671451,6,3,2.5,-0.867214407,-0.099411479,0.406280162,-0.186781908,#VALUE!,NA,NA,NA,NA,8,3,19,44,-0.159838104,1.387938581
1614,1,1,1117,2,12,NA,NA,NA,-0.061071142,-0.523844085,1.216672477,0.854616002,13,2,4.5,0.023505992,-0.707869678,1.672688959,0.329441758,2.400730237,NA,NA,NA,NA,9,3,19,48,0.186734999,0.467031466
1616,1,1,1116,2,9,0.45016957,-1.861429069,-1.446954777,-1.153915874,-1.207681286,NA,-0.778021431,4,1.666666667,1,-1.121705949,-0.910689077,-0.543526436,-0.858640487,#VALUE!,NA,NA,NA,NA,7,2,21,52,0.533308102,-0.914329207
1617,1,1,1102,1,9,NA,NA,NA,NA,NA,NA,-0.275671451,10,1.333333333,0,-0.358231322,-1.113508477,-1.176730834,-0.882823544,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,19,60,1.226454308,0.006577908
1620,1,1,1108,2,10,NA,NA,NA,-0.080586227,-0.599825996,-0.788255792,-0.401258946,11,1.333333333,0.5,-0.23098555,-1.113508477,-0.860128635,-0.734874221,-1.924388959,1.468988744,1.675939723,1.523514501,NA,8,2,13,30,-1.372843965,0.006577908
1631,1,1,1109,2,9,-0.409726546,1.669518236,-0.492359267,-0.402585121,-0.926548214,-0.664381505,1.733728465,14,2.666666667,0,0.150751764,-0.302230879,-1.176730834,-0.44273665,0.62661031,NA,NA,NA,NA,9,0,9,36,-0.85298431,NA
1632,1,1,1111,2,12,-1.100817157,1.411234236,-0.667328734,-1.153915874,-1.207681286,NA,-1.02919642,19,3,0.5,0.78698062,-0.099411479,-0.860128635,-0.057519831,#VALUE!,1.080808788,1.273689657,1.154828214,NA,5,7,15,42,-0.333124656,-0.45387565
1634,1,1,1122,2,8,NA,NA,NA,NA,NA,NA,NA,10,0.333333333,0,-0.358231322,-1.721966675,-1.176730834,-1.085642944,#VALUE!,NA,NA,NA,NA,8,0,30,23,-1.979346895,NA
1661,1,1,1115,1,7,-1.047891247,0.043134521,1.440947182,NA,NA,NA,-2.033896379,3,0,0,-1.248951721,-1.924786075,-1.176730834,-1.45015621,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,19,59,1.139811032,-0.914329207
1671,1,1,1118,2,11,-1.207075602,0.057630225,-0.399281286,NA,NA,NA,-1.657133894,11,1.666666667,2,-0.23098555,-0.910689077,0.089677963,-0.350665555,#VALUE!,NA,NA,NA,NA,9,2,18,29,-1.459487241,1.61816536
1703,1,1,1124,1,12,0.803521034,-0.835087975,0.383577856,NA,NA,NA,NA,0,0,0,-1.630689034,-1.924786075,-1.176730834,-1.577401981,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,-0.45387565
1754,1,1,1127,1,12,0.266771188,0.498899853,-0.293709819,-0.646523677,-1.017726508,1.134089619,-0.401258946,9,1.666666667,0.5,-0.485477093,-0.910689077,-0.860128635,-0.752098268,-0.019267595,NA,NA,NA,NA,11,1,17,47,0.100091723,-0.45387565
1781,1,1,1129,2,10,NA,NA,NA,-1.153915874,-1.207681286,NA,1.608140971,3,2.666666667,0,-1.248951721,-0.302230879,-1.176730834,-0.909304478,#VALUE!,NA,NA,NA,NA,6,4,NA,NA,NA,-1.144555986
1789,1,1,1126,2,11,NA,NA,NA,0.124322161,-0.485853129,0.877165173,-0.275671451,11,3,2,-0.23098555,-0.099411479,0.089677963,-0.080239689,0.521254033,NA,NA,NA,NA,7,4,21,66,1.746313963,-0.914329207
1806,1,1,1128,1,10,NA,NA,NA,NA,NA,NA,-0.275671451,0,0,0,-1.630689034,-1.924786075,-1.176730834,-1.577401981,#VALUE!,NA,NA,NA,NA,10,0,24,62,1.39974086,-0.684102429
NA,2,1,1002.2,NA,NA,-1.055032688,0.695072875,0.13729775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA
NA,2,1,1002.2,NA,NA,-1.055032688,0.695072875,0.13729775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA
NA,2,1,1002.2,NA,NA,-1.055032688,0.695072875,0.13729775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA
NA,2,1,1005.2,NA,NA,-0.743438206,0.869792632,0.241340308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA
NA,2,1,1005.2,NA,NA,-0.743438206,0.869792632,0.241340308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA
NA,2,1,1005.2,NA,NA,-0.743438206,0.869792632,0.241340308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA
