PID,participant_age,adol_wb_sum,MTES_SocialMediaUse_TimeOnApp.sum.z,MTES_PhoneChecking.mean.z,MTES_PublicUpdates.mean.z,mtes_total_zscores,sas_zscore,rpi_score,rpi_zscore,yrbs_z_score_2000_3000,yrbs_z_score_1000,positiveriskfreq_mean,negativerisk_ever_mean,positiverisk_ever_mean,negativeriskfreq_mean,zuckerman.mean,bas.sum,shs_bed_school,shs_bed_school_reason,shs_bed_school_other,shs_latency_school,shs_wake_school,shs_wake_school_reason,shs_wake_school_other,shs_home_leave,shs_school_transport,shs_bed_weekend,shs_bed_weekend_reason,shs_bed_weekend_other,shs_latency_weekend,shs_wake_weekend,shs_wake_weekend_reason,shs_wake_weekend_other,shs_wake_night,shs_sleepy_day,shs_nap_school,shs_nap_weekend,shs_sleep_needed_hours,shs_sleep_needed_minutess,shs_sleep_amount,shs_sleep_opinion,shs_sleep_school_enough,shs_sleep_weekend_enough,shs_sleep_class,shs_sleep_computer,shs_sleep_study,shs_sleep_test,shs_sleep_travel,shs_sleep_perform,shs_sleep_tvmusic,shs_sleep_game,shs_sleep_car,shs_sleep_convo,shs_caffeine,shs_coffeetea,shs_alcohol,shs_drugs,shs_overslept,shs_mornclass,shs_noonclass,shs_wokeup,shs_3am,shs_noon,shs_draggedout,shs_multiple,shs_insomnia,shs_nightmare,shs_stayawake,shs_dangerous,shs_goodsleep,shs_overslept_bothered,shs_too_tired,shs_stayasleep,shs_sad,shs_hopeless,shs_nervous,shs_worrying,shs_school_start,shs_test,shs_energy,shs_body,shs_job,shs_job_when___1,shs_job_when___2,shs_job_when___3,shs_job_when___4,shs_job_hours_school,shs_job_hours_weekend,shs_job_sleep,shs_job_no_bed,shs_job_no_wake,shs_study,shs_study_when___1,shs_study_when___2,shs_study_when___3,shs_study_when___4,shs_study_school,shs_study_weekend,shs_study_sleep,shs_study_no_bed,shs_study_no_wake,shs_sports,shs_sports_when___1,shs_sports_when___2,shs_sports_when___3,shs_sports_when___4,shs_sports_school,shs_sports_weekend,shs_sports_sleep,shs_sports_no_bed,shs_sports_no_wake,shs_orgactivity,shs_orgactivity_when,shs_orgactivity_school,shs_orgactivity_weekend,shs_orgactivity_sleep,shs_orgactivity_no_bed,shs_orgactivity_no_wake,shs_grades,shs_car,shs_accident,shs_disabilities,shs_healthquality,shs_medication,shs_stayhome_sick,shs_stayhome_other,shs_tv,shs_computer,shs_phone,shs_race___1,shs_race___2,shs_race___3,shs_race___4,shs_race___5,shs_race___6,shs_race___7,shs_race_other,birth_sex,participant_age,Flanker_Z,OBJ_AvgPickups_Z,OBJ_AvgNotifs_Z,OBJ_Usage.DailyHourlyAverage.Z,SSM,overall_dprime,texi_z_score,Bar_z,DD_Indiff_Avg,ema_mood_during_use,ema_mood_use_assosciation,ema_negative_exposure,ema_avg_use,obj
1014,9,5,-1.005685371,-1.712258132,-1.179601059,-1.29918152,-2.283611806,2.769230769,0.501941907,NA,0.214217042,1.428571429,0.285714286,0.642857143,0.285714286,0.833333333,23,21:30,7,I have baseball practice.,1,6:30,5,,8:35,1,22:00,7,Baseball.,1,8:00,5,,0,0,0,0,8,30,2,1,4,4,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,3,2,0,0,0,3,0,2,2,0,0,3,3,6,3,3,3,0,0,0,0,0,NA,NA,NA,NA,NA,1,0,0,1,1,1,1,0,3,3,1,1,1,0,1,3,3,0,3,3,0,NA,NA,NA,NA,NA,NA,1,0,NA,1,4,0,0,0,0,0,0,1,0,0,1,0,0,0,No comment,2,9,-0.728646656,NA,NA,NA,0,NA,-0.333124656,0.006577908,603.6666667,,,,,0
1015,9,6,-0.403971291,-1.915122355,-1.179601059,-1.166231568,-2.283611806,3.076923077,1.287991619,NA,0.214217042,1.285714286,0,0.785714286,0,0.833333333,25,21:00,1,,1,6:45,3,,7:15,3,22:00,2,,1,8:00,5,,0,0,0,1,9,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,4,1,0,0,0,3,0,0,1,1,1,3,3,5,2,2,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,2,9,0.064917733,NA,NA,NA,0,-0.728516483,-0.506411207,0.236804687,489.6666667,,,,,0
1016,10,8,-1.607399451,-1.915122355,-1.179601059,-1.567374288,-2.283611806,2.769230769,0.501941907,NA,0.214217042,1.571428571,0.142857143,0.928571429,0.142857143,0.166666667,24,21:00,1,,3,7:00,5,,8:20,1,21:20,1,,3,7:00,5,,2,1,0,0,10,0,2,1,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,2,2,0,0,3,0,0,2,0,0,1,0,5,2,2,1,0,0,0,0,0,NA,NA,NA,NA,NA,1,0,0,1,0,1,0,0,3,3,1,0,0,1,0,1,0,0,3,3,1,2,1,0,0,3,3,1,0,NA,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,N/A,2,10,NA,NA,NA,NA,0,2.808497333,-0.506411207,1.848392139,731.5,,,,,0
1017,7,7,-1.206256731,-1.509393909,-1.179601059,-1.298417233,NA,2.384615385,-0.480620232,NA,-0.006782514,0.571428571,0.5,0.5,0.428571429,1,15,22:00,4,,2,7:30,2,,9:00,1,23:59,2,,2,10:00,5,,1,1,2,2,8,30,2,1,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,6,2,2,2,0,0,0,0,0,NA,NA,NA,NA,NA,1,0,1,0,0,1,0,0,1,2,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2,0,NA,2,4,0,0,0,1,0,0,0,1,0,0,0,0,0,Black,1,7,0.330189027,NA,NA,NA,0,1.027609962,-0.939627586,0.006577908,2.333333333,,,,,0
1018,7,11,-1.707685131,-1.712258132,-1.179601059,-1.533181441,NA,2.538461538,-0.087595377,NA,-0.006782514,0.785714286,0.166666667,0.571428571,0.285714286,0.333333333,20,22:00,2,,1,9:00,5,,10:00,5,22:00,2,,1,9:30,5,,0,1,1,0,10,30,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,2,0,3,0,1,0,0,0,1,1,6,2,2,2,0,0,0,0,0,NA,NA,NA,NA,NA,1,0,1,0,0,1,0,0,3,3,1,0,1,0,1,5,3,0,3,3,0,NA,NA,NA,NA,NA,NA,2,0,NA,2,4,1,0,0,0,0,0,1,0,0,0,0,0,0,NA,1,7,0.712428385,NA,NA,NA,0,-0.765467823,0.013448447,-0.223648871,479.5,,,,,0
1019,11,10,-1.406828091,-1.915122355,-0.856903675,-1.392951374,-2.283611806,2.615384615,0.108917051,NA,1.31921482,1.5,0,0.714285714,0,0.5,20,22:30,3,,1,6:30,3,,7:20,2,20:00,2,,2,12:00,5,,4,1,1,3,11,0,3,2,1,4,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,1,2,0,2,0,0,0,1,0,1,2,4,3,3,3,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,0,NA,1,3,0,1,0,0,0,0,1,0,0,1,0,0,0,None,2,11,-0.173968968,NA,NA,NA,0,1.182538248,0.619951378,-1.144555986,671.6666667,,,,,0
1020,7,8,-1.707685131,-1.915122355,-1.179601059,-1.600802848,NA,3.076923077,1.287991619,NA,1.643347502,0.285714286,0,0.357142857,0,0.333333333,26,20:30,1,,2,7:00,3,,7:30,3,22:00,2,,1,9:00,5,,2,0,0,0,11,0,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,3,0,0,2,3,1,2,1,5,3,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,1,0,0,1,0,2,0,0,2,2,1,0,1,0,0,4.5,0,0,3,3,0,NA,NA,NA,NA,NA,NA,1,0,NA,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,Mexican,1,7,NA,NA,NA,NA,0,NA,0.533308102,0.697258245,999,,,,,0
1021,9,4,-1.507113771,-1.915122355,-1.179601059,-1.533945728,-2.283611806,2.153846154,-1.070157516,NA,0.877215709,0.642857143,0.333333333,0.428571429,0.285714286,0.5,18,21:30,1,,2,7:00,3,,7:20,3,23:00,1,,2,8:30,3,,3,1,0,2,9,0,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,1,1,2,0,3,0,2,0,0,0,0,0,3,1,2,2,0,0,0,0,0,NA,NA,NA,NA,NA,1,0,0,1,1,5,2,0,2,3,1,0,1,0,1,2,2,0,2,3,1,2,1,0,0,2,3,2,0,NA,2,3,0,0,0,0,1,1,0,0,0,1,0,0,0,Asian,2,9,0.717070552,NA,NA,NA,0,0.156011704,0.879881205,-1.374782765,610.6666667,,,,,0
1022,12,8,-0.905399691,0.519248322,-1.179601059,-0.521917476,0.375068371,2.230769231,-0.873645088,NA,-0.448781626,0.714285714,0.166666667,0.571428571,0.142857143,0.833333333,20,21:00,2,,2,7:00,2,,8:00,3,22:00,1,,2,10:00,3,,0,0,0,0,10,0,2,1,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2,0,NA,2,3,0,0,0,1,1,1,0,0,1,0,0,0,0,,1,12,-1.275086722,-1.153915874,-1.207681286,-1.256225319,-1.415592136,1.863338424,-2.585849826,2.078618918,283.5,,,,,2.5
1023,11,9,-1.406828091,-1.915122355,-0.211508907,-1.177819784,-0.76436599,2.692307692,0.305429479,NA,-0.669781181,1.642857143,0.333333333,0.857142857,0.571428571,0.833333333,22,10:00,1,,1,7:00,3,,8:00,3,23:00,1,,1,10:00,3,,0,0,0,0,8,0,2,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,2,2,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,1,0,0,1,0,6,0,0,3,3,0,NA,NA,NA,NA,NA,NA,2,0,NA,2,4,0,0,0,1,1,1,0,0,1,0,0,0,0,,2,11,0.180634899,NA,NA,NA,0,0.335500419,-2.585849826,2.078618918,325.3333333,,,,,0
